"table_schema	table_name	column_name	ordinal_position	data_type"
"useall_silver	requisicoes_silver	CLASSIFICACAOCONTACDC	39	text"
"useall_silver	solcompra_silver	IDSOLICCOMPRA	1	bigint"
"useall_silver	solcompra_silver	IDEMPRESA	2	bigint"
"useall_silver	solcompra_silver	IDFILIAL	3	bigint"
"useall_silver	solcompra_silver	NUMERO	4	bigint"
"useall_silver	solcompra_silver	IDSOLICITANTE	5	bigint"
"useall_silver	solcompra_silver	OBS	6	text"
"useall_silver	solcompra_silver	STATUS	7	text"
"useall_silver	solcompra_silver	PRIMEIRADATANECESSIDADE	8	timestamp without time zone"
"useall_silver	solcompra_silver	FINALIDADE	9	text"
"useall_silver	solcompra_silver	IDSOLICCOMPRAITEM	10	bigint"
"useall_silver	solcompra_silver	IDENTIFICACAO	11	bigint"
"useall_silver	solcompra_silver	IDUN	12	bigint"
"useall_silver	solcompra_silver	QUANT	13	numeric"
"useall_silver	solcompra_silver	DATANECESSIDADE	14	timestamp without time zone"
"useall_silver	solcompra_silver	COMPLEMENTO	15	text"
"useall_silver	solcompra_silver	SALDO	16	numeric"
"useall_silver	solcompra_silver	URGENTE	17	boolean"
"useall_silver	solcompra_silver	URGENTE_DESC	18	text"
"useall_silver	solcompra_silver	IDCONTACDC	19	numeric"
"useall_silver	solcompra_silver	CLASSIFICACAO	20	text"
"useall_silver	solcompra_silver	DESCRICAO	21	text"
"useall_silver	unidades_silver	IDUN	1	bigint"
"useall_silver	unidades_silver	IDUNIDADETENANT	2	bigint"
"useall_silver	unidades_silver	DESCRICAO	3	text"
"useall_silver	unidades_silver	SIGLA	4	text"
"useall_silver	unidades_silver	SIGLAFCI	5	text"
"useall_silver	unidades_silver	DATAHORAALTERACAO	6	timestamp without time zone"
"useall_silver	unidades_silver	STATUS	7	text"
